name,unicode,keywords,definition
ballot box with check,U+2611,ballot check box,A checkbox showing a check mark inside the box. Not to be confused with the similarly named Ballot Box With Ballot emoji. Ballot Box With Ch http://emojipedia.org/ballot-box-with-check/
snowman,U+2603,cold snow,"A snowman, shown under falling snow. This is an old text glyph, that includes an emoji presentation in iOS 9.1. Are you looking for the more http://emojipedia.org/snowman/"
umbrella,U+2602,rain clothing,"An umbrella with a hooked handle, open and with no rain falling on it, unlike the umbrella with raindrops. Umbrella was approved as part of  http://emojipedia.org/umbrella/"
sun,U+2600,rays bright sunny,"The sun; a warm ball of fire that keeps life on earth viable. Represents sunny weather, or hot days. See the glossary for information on the http://emojipedia.org/black-sun-with-rays/"
dark skin tone,U+1F3FF,type 6 skin tone,"A black skin tone modifier, which can be applied to a range of human emoji characters. Type 6 on the Fitzpatrick Scale of skin tones is desc http://emojipedia.org/emoji-modifier-fitzpatrick-type-6/"
medium-dark skin tone,U+1F3FE,type 5 skin tone,"A dark brown skin tone modifier, which can be applied to a range of human emoji characters. Type 5 on the Fitzpatrick Scale of skin tones is http://emojipedia.org/emoji-modifier-fitzpatrick-type-5/"
medium skin tone,U+1F3FD,type 4 skin tone,"A moderate brown skin tone modifier, which can be applied to a range of human emoji characters. Type 4 on the Fitzpatrick Scale of skin tone http://emojipedia.org/emoji-modifier-fitzpatrick-type-4/"
medium-light skin tone,U+1F3FC,type 3 skin tone,"A cream white skin tone modifier, which can be applied to a range of human emoji characters. Type 3 on the Fitzpatrick Scale of skin tones i http://emojipedia.org/emoji-modifier-fitzpatrick-type-3/"
light skin tone,U+1F3FB,skin tone type 1–2,"A pale skin tone modifier, which can be applied to a range of human emoji characters. Type 1 on the Fitzpatrick Scale of skin tones is descr http://emojipedia.org/emoji-modifier-fitzpatrick-type-1-2/"
amphora,U+1F3FA,tool jug cooking weapon drink zodiac aquarius,"A ceramic, vase-like object. Can be used in relation to the zodiac symbol Aquarius. Amphora was approved as part of Unicode 8.0 in 2015 and  http://emojipedia.org/amphora/"
bow and arrow,U+1F3F9,tool archery weapon bow arrow archer zodiac sagittarius,A bow and arrow used in the sport of archery. May also be used by cupid. Bow and Arrow was approved as part of Unicode 8.0 in 2015 and added http://emojipedia.org/bow-and-arrow/
badminton,U+1F3F8,racquet game shuttlecock birdie,Badminton was approved as part of Unicode 8.0 in 2015 under the name “Badminton Racquet and Shuttlecock” and added to Emoji 1.0 in 2015. Cop http://emojipedia.org/badminton-racquet-and-shuttlecock/
black flag,U+1F3F4,waving,Black Flag was approved as part of Unicode 7.0 in 2014 under the name “Waving Black Flag” and added to Emoji 1.0 in 2015. Copy and paste thi http://emojipedia.org/waving-black-flag/
white flag,U+1F3F3,waving,"A white flag, shown waving on a post. Traditionally used as a sign of surrender, the meaning of this flag as an emoji is less defined. White http://emojipedia.org/waving-white-flag/"
Japanese castle,U+1F3EF,japanese castle,"A traditional Japanese Castle, usually made from stone and wood. Japanese Castle was approved as part of Unicode 6.0 in 2010 and added to Em http://emojipedia.org/japanese-castle/"
red paper lantern,U+1F3EE,light japanese lantern bar red,A red lantern hung outside an izakaya in Japan: a type of bar that also has small meals available. Suitable for a casual evening to eat and/ http://emojipedia.org/izakaya-lantern/
department store,U+1F3EC,store department,"A large department store, selling a range of products to the general public. Shown as a large building with a billboard on most platforms, o http://emojipedia.org/department-store/"
convenience store,U+1F3EA,store convenience,"A shop that is generally open for longer hours than a regular supermarket, sometimes 24 hours per day. Sells a range of goods from snacks, m http://emojipedia.org/convenience-store/"
love hotel,U+1F3E9,love hotel,"A love hotel is a hotel that can be hired by the hour, instead of as accommodation for the evening. Can be mistaken for a get well soon emoj http://emojipedia.org/love-hotel/"
ATM sign,U+1F3E7,bank automated atm teller,ATM Sign was approved as part of Unicode 6.0 in 2010 under the name “Automated Teller Machine” and added to Emoji 1.0 in 2015. Copy and past http://emojipedia.org/automated-teller-machine/
hospital,U+1F3E5,medicine doctor,"A place where people are taken to receive medical care. This hospital has a large red cross on the front, often used as a symbol for health  http://emojipedia.org/hospital/"
post office,U+1F3E4,european post,"A European-style post office. A postal horn can be seen on the front, which is commonly found in the logos of European Postal Services. Post http://emojipedia.org/european-post-office/"
Japanese post office,U+1F3E3,japanese post,"A Japanese post office, featuring the ? Japanese postal mark on the front of the building (or showing this mark instead of the building in M http://emojipedia.org/japanese-post-office/"
office building,U+1F3E2,building,"A generic, high-rise office building. Generally found in cities, and most active during business hours. The office building shown in Twemoji http://emojipedia.org/office-building/"
house with garden,U+1F3E1,house garden home,"A suburban-looking house, with a tree, flower, or shrubs around it in the garden. House With Garden was approved as part of Unicode 6.0 in 2 http://emojipedia.org/house-with-garden/"
house,U+1F3E0,house home,"A house, otherwise known as a home when someone is living in it. Suitable for a couple or larger family, other perhaps housemates. Distinct  http://emojipedia.org/house-building/"
national park,U+1F3DE,park,"A national park, generally displayed with mountains, a river or stream, and trees. National Park was approved as part of Unicode 7.0 in 2014 http://emojipedia.org/national-park/"
desert island,U+1F3DD,desert island,Desert Island was approved as part of Unicode 7.0 in 2014 and added to Emoji 1.0 in 2015. Copy and paste this emoji: Copy http://emojipedia.org/desert-island/
classical building,U+1F3DB,classical,Classical Building was approved as part of Unicode 7.0 in 2014 and added to Emoji 1.0 in 2015. Copy and paste this emoji: Copy http://emojipedia.org/classical-building/
derelict house,U+1F3DA,derelict house,"A house which is unoccupied, and has become derelict. In a state of disrepair. Derelict House was approved as part of Unicode 7.0 in 2014 un http://emojipedia.org/derelict-house-building/"
building construction,U+1F3D7,construction,Building Construction was approved as part of Unicode 7.0 in 2014 and added to Emoji 1.0 in 2015. Copy and paste this emoji: Copy http://emojipedia.org/building-construction/
beach with umbrella,U+1F3D6,beach umbrella,"A beach showing sand, and an umbrella for protection from the sun. Beach With Umbrella was approved as part of Unicode 7.0 in 2014 and added http://emojipedia.org/beach-with-umbrella/"
snow-capped mountain,U+1F3D4,cold mountain snow,A mountain with snow resting at higher altitudes. Similar in appearance to the Mount Fuji emoji. Snow-capped Mountain was approved as part o http://emojipedia.org/snow-capped-mountain/
ping pong,U+1F3D3,game table tennis bat ping pong paddle ball,A paddle and ping pong ball used in the sport of table tennis. Ping Pong was approved as part of Unicode 8.0 in 2015 under the name “Table T http://emojipedia.org/table-tennis-paddle-and-ball/
ice hockey,U+1F3D2,stick puck game ice hockey,"A hockey stick and puck, used in the sport of ice hockey. Not to be confused with the field hockey stick and ball. Ice Hockey was approved a http://emojipedia.org/ice-hockey-stick-and-puck/"
field hockey,U+1F3D1,stick game hockey field ball,"A hockey stick and ball, used in the sport of field hockey. Not to be confused with the ice hockey stick and puck. Field Hockey was approved http://emojipedia.org/field-hockey-stick-and-ball/"
volleyball,U+1F3D0,game ball,"A volleyball emoji, showing the round ball used in the sport. Played as part of the Summer Olympic Games. Volleyball was approved as part of http://emojipedia.org/volleyball/"
cricket,U+1F3CF,game bat ball,"A cricket bat, with a cricket ball also shown. May be displayed with a wicket present. Cricket was approved as part of Unicode 8.0 in 2015 u http://emojipedia.org/cricket-bat-and-ball/"
racing car,U+1F3CE,racing car,A formula-one style racing car. Racing Car was approved as part of Unicode 7.0 in 2014 and added to Emoji 1.0 in 2015. Copy and paste this e http://emojipedia.org/racing-car/
person golfing,U+1F3CC,ball golf,"A person swinging a golf club, attempting to hit a golf ball toward the flag on the green. Person Golfing was approved as part of Unicode 7. http://emojipedia.org/golfer/"
person lifting weights,U+1F3CB,lifter weight,A person lifting a barbell loaded with weights above their head. Person Lifting Weights was approved as part of Unicode 7.0 in 2014 under th http://emojipedia.org/weight-lifter/
person swimming,U+1F3CA,swim,"A person swimming in a pool, the ocean, or another body of water. Lacked goggles on prior versions of iOS. Swims facing to the left of scree http://emojipedia.org/swimmer/"
black medium-small square,U+25FE,square geometric,Black Medium-small Square was approved as part of Unicode 3.2 in 2002 under the name “Black Medium Small Square” and added to Emoji 1.0 in 2 http://emojipedia.org/black-medium-small-square/
white medium-small square,U+25FD,square geometric,White Medium-small Square was approved as part of Unicode 3.2 in 2002 under the name “White Medium Small Square” and added to Emoji 1.0 in 2 http://emojipedia.org/white-medium-small-square/
black medium square,U+25FC,square geometric,Black Medium Square was approved as part of Unicode 3.2 in 2002 and added to Emoji 1.0 in 2015. Copy and paste this emoji: Copy http://emojipedia.org/black-medium-square/
white medium square,U+25FB,square geometric,White Medium Square was approved as part of Unicode 3.2 in 2002 and added to Emoji 1.0 in 2015. Copy and paste this emoji: Copy http://emojipedia.org/white-medium-square/
rugby football,U+1F3C9,football rugby ball,The oval-shaped ball used in the game of rugby. Varies slightly in shape in the two main versions of the game: rugby union and rugby league. http://emojipedia.org/rugby-football/
american football,U+1F3C8,football ball american,"The oval ball used in the game of American football, known as gridiron in some countries. American Football was approved as part of Unicode  http://emojipedia.org/american-football/"
horse racing,U+1F3C7,racing jockey horse racehorse,A jockey riding a horse in a horse race. Shown riding to the left of screen on all major platforms. Emoji modifiers change the skin tone of  http://emojipedia.org/horse-racing/
sports medal,U+1F3C5,medal,"A gold medal, given to a person who has won a sporting event, such as a race. Not to be confused with the military medal emoji. Sports Medal http://emojipedia.org/sports-medal/"
person surfing,U+1F3C4,surfing,"A person on a surfboard, riding on a wave in the ocean. Wears a wetsuit or board shorts in most versions. Person Surfing was approved as par http://emojipedia.org/surfer/"
person running,U+1F3C3,running marathon,"A person running, with a large stride  and arms outstretched. May be wearing a running shirt. This emoji does not specify a gender, but is s http://emojipedia.org/runner/"
snowboarder,U+1F3C2,ski snowboard snow,A person snowboarding downhill at a ski resort. Wearing clothing designed for cold climates. Snowboarder was approved as part of Unicode 6.0 http://emojipedia.org/snowboarder/
chequered flag,U+1F3C1,checkered racing chequered,"A flag with black and white squares shown in a checkerboard pattern, used to signal the start or end of a motor car race. Chequered Flag was http://emojipedia.org/chequered-flag/"
basketball,U+1F3C0,hoop ball,"An orange-colored basketball displayed with a hoop. Many versions of this emoji omit the hoop, and display only the basketball. This emoji c http://emojipedia.org/basketball-and-hoop/"
skis,U+1F3BF,ski snow,"Skis and ski boots, worn when skiing at a ski resort. Only the Microsoft and Twitter versions of this emoji show both the ski and boot. Appl http://emojipedia.org/ski-and-ski-boot/"
tennis,U+1F3BE,racquet ball,"A tennis racket (racquet) with a tennis ball. Only a ball is shown on Apple, LG, Twitter, Facebook, and Mozilla platforms. Tennis was approv http://emojipedia.org/tennis-racquet-and-ball/"
running shirt,U+1F3BD,running shirt sash athletics,A singlet or running shirt. Shown with a sash. Running Shirt was approved as part of Unicode 6.0 in 2010 under the name “Running Shirt With  http://emojipedia.org/running-shirt-with-sash/
musical score,U+1F3BC,music score,A staff (or stave) showing a treble clef and five horizontal lines. Musical Score was approved as part of Unicode 6.0 in 2010 and added to E http://emojipedia.org/musical-score/
violin,U+1F3BB,instrument music,A violin emoji. Sometimes  used in the context of the world’s smallest violin. Violin was approved as part of Unicode 6.0 in 2010 and added  http://emojipedia.org/violin/
trumpet,U+1F3BA,instrument music,"A trumpet, a brass instrument played in jazz bands. Trumpet was approved as part of Unicode 6.0 in 2010 and added to Emoji 1.0 in 2015. Copy http://emojipedia.org/trumpet/"
musical keyboard,U+1F3B9,piano keyboard instrument music,"A small section of a music keyboard, as opposed to a computer keyboard. Showing white and black keys, this keyboard is played by a pianist t http://emojipedia.org/musical-keyboard/"
guitar,U+1F3B8,instrument music,"A guitar, which may be shown as an electric guitar (Apple, Google), or an acoustic guitar (Microsoft, Twitter). Guitar was approved as part  http://emojipedia.org/guitar/"
saxophone,U+1F3B7,instrument music sax,Saxophone was approved as part of Unicode 6.0 in 2010 and added to Emoji 1.0 in 2015. Copy and paste this emoji: Copy http://emojipedia.org/saxophone/
musical notes,U+1F3B6,notes note music,"Three eighth notes (quavers in British English), used to represent music or singing. Sometimes inserted next to quoted lyrics, to make it cl http://emojipedia.org/multiple-musical-notes/"
musical note,U+1F3B5,note music,"A music note emoji, which can denote song lyrics, or other music related topics. Displays as two eighth-notes (quavers in British English) c http://emojipedia.org/musical-note/"
flower playing cards,U+1F3B4,japanese game flower card playing,A type of cards known as hanafuda cards in Japan which are used for a range of different games that require associating pictures (there are  http://emojipedia.org/flower-playing-cards/
bowling,U+1F3B3,game ball,"Ten-pin bowling emoji, showing a bowling ball and pins. Bowling was approved as part of Unicode 6.0 in 2010 and added to Emoji 1.0 in 2015.  http://emojipedia.org/bowling/"
game die,U+1F3B2,game dice die,"A six-sided die, used in a range of board and turn-based games. Commonly called dice which refers to the plural of die. Most other platforms http://emojipedia.org/game-die/"
pool 8 ball,U+1F3B1,8 ball game eight billiard ball 8,"The game of billiards, of which pool is a common version. This emoji displays the black 8 ball on most platforms, which looks similar to the http://emojipedia.org/billiards/"
slot machine,U+1F3B0,game slot,A gambling machine generally found in casinos. Shows three wheels with a lever to the side. Most platforms display three 7 digits on this em http://emojipedia.org/slot-machine/
direct hit,U+1F3AF,eye game bull dart hit bullseye target,A dart board with dart hitting the center / bullseye region. Direct Hit was approved as part of Unicode 6.0 in 2010 and added to Emoji 1.0 i http://emojipedia.org/direct-hit/
video game,U+1F3AE,controller game,"A video game emoji, shown on major platforms as a console gamepad with D-pad, joysticks, and buttons. Video Game was approved as part of Uni http://emojipedia.org/video-game/"
performing arts,U+1F3AD,mask performing theatre art theater,"Two masks often used on maps to indicate a theatre, these originate in Greek Theatre as masks of tragedy and comedy. One mask frowns, the ot http://emojipedia.org/performing-arts/"
clapper board,U+1F3AC,movie clapper,"A board which contains the scene name, number, and film. A person ‘claps’ the board shut at the top while saying “Action” or “Cut” to indica http://emojipedia.org/clapper-board/"
circus tent,U+1F3AA,tent circus,"A circular ‘big top’ circus tent, with a triangle flag on top. Circus Tent was approved as part of Unicode 6.0 in 2010 and added to Emoji 1. http://emojipedia.org/circus-tent/"
top hat,U+1F3A9,hat top clothing tophat,"A top hat, worn in traditional British weddings and other formal occasions. This is also a popular playing piece in the game of Monopoly. To http://emojipedia.org/top-hat/"
artist palette,U+1F3A8,palette museum painting art,"A palette used by an artist when painting, to store and mix paint colors. Artist Palette was approved as part of Unicode 6.0 in 2010 and add http://emojipedia.org/artist-palette/"
cinema,U+1F3A6,movie camera film,"An emoji representing the cinema: a large screen showing the latest movies, available to the public. Displayed by Apple and Twitter as a fil http://emojipedia.org/cinema/"
movie camera,U+1F3A5,movie camera cinema,"A classic reel-to-reel film camera, used as a symbol for movies or films in general. May also be used in relation to the Emoji Movie. Movie  http://emojipedia.org/movie-camera/"
microphone,U+1F3A4,mic karaoke,"A microphone, used to amplify a person’s voice when speaking or singing. Shown with music notes on most platforms, implying it to be used fo http://emojipedia.org/microphone/"
fishing pole,U+1F3A3,fish pole,A fishing rod (pole) with a fish caught on the end. Fishing Pole was approved as part of Unicode 6.0 in 2010 under the name “Fishing Pole an http://emojipedia.org/fishing-pole-and-fish/
roller coaster,U+1F3A2,roller coaster amusement park,A roller coaster in a theme park going down a dip in the ride. Three carriages can be seen with two people in each red carriage. Roller Coas http://emojipedia.org/roller-coaster/
ferris wheel,U+1F3A1,ferris wheel amusement park,"A large rotating wheel, often found at a carnival or fair. Ferris Wheel was approved as part of Unicode 6.0 in 2010 and added to Emoji 1.0 i http://emojipedia.org/ferris-wheel/"
carousel horse,U+1F3A0,horse carousel,"A wooden painted horse, found on the carousel at a carnival. Faces to the left-of screen. A previous version of Windows displayed the carous http://emojipedia.org/carousel-horse/"
reverse button,U+25C0,reverse arrow triangle left,"A triangle-shaped arrow, pointing left. See the glossary for information on the term black in unicode character names. Reverse Button was ap http://emojipedia.org/black-left-pointing-triangle/"
play button,U+25B6,right arrow triangle play,"A triangle-shaped arrow, pointing right. Commonly used as a symbol for play. See the glossary for information on the term black in unicode c http://emojipedia.org/black-right-pointing-triangle/"
white small square,U+25AB,square geometric,White Small Square was approved as part of Unicode 1.1 in 1993 and added to Emoji 1.0 in 2015. Copy and paste this emoji: Copy http://emojipedia.org/white-small-square/
black small square,U+25AA,square geometric,Black Small Square was approved as part of Unicode 1.1 in 1993 and added to Emoji 1.0 in 2015. Copy and paste this emoji: Copy http://emojipedia.org/black-small-square/
part alternation mark,U+303D,part mark,"Used in traditional Japanese music such as Noh or Renga, to indicate the start of a song. More specifically, the part alternation mark is di http://emojipedia.org/part-alternation-mark/"
wavy dash,U+3030,wavy punctuation dash,"Just like a regular dash (hyphen), sometimes used in Asian character sets in the same way a – or — is used in latin character sets. Wavy Das http://emojipedia.org/wavy-dash/"
admission tickets,U+1F39F,admission ticket,Admission Tickets was approved as part of Unicode 7.0 in 2014 and added to Emoji 1.0 in 2015. Copy and paste this emoji: Copy http://emojipedia.org/admission-tickets/
film frames,U+1F39E,movie film cinema frames,Film Frames was approved as part of Unicode 7.0 in 2014 and added to Emoji 1.0 in 2015. Copy and paste this emoji: Copy http://emojipedia.org/film-frames/
control knobs,U+1F39B,knobs music control,Control Knobs was approved as part of Unicode 7.0 in 2014 and added to Emoji 1.0 in 2015. Copy and paste this emoji: Copy http://emojipedia.org/control-knobs/
level slider,U+1F39A,slider music level,Level Slider was approved as part of Unicode 7.0 in 2014 and added to Emoji 1.0 in 2015. Copy and paste this emoji: Copy http://emojipedia.org/level-slider/
studio microphone,U+1F399,mic studio microphone music,"A microphone used for audio recording and often associated with radio broadcasting, or podcasts. Studio Microphone was approved as part of U http://emojipedia.org/studio-microphone/"
reminder ribbon,U+1F397,reminder celebration ribbon,"An awareness ribbon, worn to show support of a cause or group. Reminder Ribbon was approved as part of Unicode 7.0 in 2014 and added to Emoj http://emojipedia.org/reminder-ribbon/"
military medal,U+1F396,medal celebration military,A ribbon and medallion generally awarded to a person in the military for heroic acts. Military Medal was approved as part of Unicode 7.0 in  http://emojipedia.org/military-medal/
graduation cap,U+1F393,hat cap celebration graduation clothing,"A graduation cap, worn on the head of students graduating from college or university. Known in some locations as a mortar board with tassel. http://emojipedia.org/graduation-cap/"
school backpack,U+1F392,school bag satchel,"A school bag Emoji (also called a satchel) used by children attending school to carry books, lunch, and other personal belongings. School Ba http://emojipedia.org/school-satchel/"
moon viewing ceremony,U+1F391,moon ceremony celebration,Moon Viewing Ceremonies (called Tsukimi in Japan) are held each year in autumn to celebrate the full moon and waxing moon in Japan. This sym http://emojipedia.org/moon-viewing-ceremony/
wind chime,U+1F390,chime wind bell celebration,"Although named wind chime, this emoji more closely resembles a wind bell; a decoration that is popular in Japan and made of glass. Wind Chim http://emojipedia.org/wind-chime/"
carp streamer,U+1F38F,carp streamer celebration,Carp-shaped wind socks traditionally flown in Japan to celebrate Children’s Day. Carp Streamer was approved as part of Unicode 6.0 in 2010 a http://emojipedia.org/carp-streamer/
heavy large circle,U+2B55,circle o,Used as an alternative to a check (tick) in Japan for a something that is correct. The opposite of an X (cross mark) for something wrong. He http://emojipedia.org/heavy-large-circle/
Japanese dolls,U+1F38E,japanese doll celebration festival,"Two Japanese Imperial Dolls, displayed on March 3 for Hina-matsuri (Dolls Day, Girls Day). These dolls are intended to be shown as a Prince  http://emojipedia.org/japanese-dolls/"
pine decoration,U+1F38D,pine japanese celebration bamboo,"This pine decoration, called kadomatsu in Japanese, is made of bamboo or pine. A kadomatsu is placed out the front of Japanese homes for the http://emojipedia.org/pine-decoration/"
crossed flags,U+1F38C,japanese celebration crossed cross,"Two Japanese Flags, crossed at the base. Except on Samsung devices, which display two South Korean flags. Crossed Flags was approved as part http://emojipedia.org/crossed-flags/"
tanabata tree,U+1F38B,tree japanese banner celebration,"A tree that people use to attach pieces of paper containing good wishes. Often done for spiritual or religious reasons, in many cultures. Ta http://emojipedia.org/tanabata-tree/"
confetti ball,U+1F38A,celebration confetti ball,"Confetti Ball emoji: a ball containing confetti, burst open at celebrations such as New Year’s Eve or a Wedding in a celebratory manner. Con http://emojipedia.org/confetti-ball/"
white medium star,U+2B50,star,A five-point star of pale-yellow color. Generally used for visual flair rather than astronomical purposes. White Medium Star was approved as http://emojipedia.org/white-medium-star/
party popper,U+1F389,popper party tada celebration,"A colorful party popper, used for party or other celebration. Appears as a conical party hat, with streamers or confetti bursting out of one http://emojipedia.org/party-popper/"
sparkler,U+1F387,fireworks celebration sparkle,"A  sparkler: a form of hand-held firework often used at parties and celebrations. The sparkler is lit at one end, and held at the other.  Mo http://emojipedia.org/firework-sparkler/"
Santa Claus,U+1F385,claus father santa celebration christmas,"Santa Claus, known in some countries as Father Christmas, brings joy to children at Christmas time. Married to Mrs Claus. The Santa emoji ha http://emojipedia.org/father-christmas/"
Christmas tree,U+1F384,tree celebration christmas,"A decorated Christmas Tree emoji: a pine tree displayed at Christmas time, usually adorned with lights, tinsel and other ornaments. Presents http://emojipedia.org/christmas-tree/"
jack-o-lantern,U+1F383,jack halloween lantern celebration,"A pumpkin emoji, carved into a Jack-o’-lantern for halloween. Jack-o-lantern was approved as part of Unicode 6.0 in 2010 under the name “Jac http://emojipedia.org/jack-o-lantern/"
birthday cake,U+1F382,pastry sweet dessert celebration birthday cake,"A cake with lit candles in the middle, created for someone’s birthday. The Apple version features strawberries for decoration and flavour. G http://emojipedia.org/birthday-cake/"
wrapped gift,U+1F381,wrapped celebration box gift present,"A gift, wrapped with a variety of paper colors, and a ribbon and bow for decoration. Commonly used for birthdays, Christmas, and other gift- http://emojipedia.org/wrapped-present/"
bottle with popping cork,U+1F37E,bottle drink cork bar popping,A bottle of champagne or sparkling wine used for celebrations such as New Year's Eve. Bottle With Popping Cork was approved as part of Unico http://emojipedia.org/bottle-with-popping-cork/
fork and knife with plate,U+1F37D,plate cooking knife fork,A fork and knife shown on either side of a dinner plate. May be accompanied by the spoon emoji. Fork and Knife With Plate was approved as pa http://emojipedia.org/fork-and-knife-with-plate/
baby bottle,U+1F37C,bottle drink baby milk,"A bottle with a nipple (teat) on the top, used for feeding milk to babies. Baby Bottle was approved as part of Unicode 6.0 in 2010 and added http://emojipedia.org/baby-bottle/"
clinking beer mugs,U+1F37B,mug drink beer clink bar,Two beers being clinked together in a celebratory manner. Clinking Beer Mugs was approved as part of Unicode 6.0 in 2010 and added to Emoji  http://emojipedia.org/clinking-beer-mugs/
beer mug,U+1F37A,mug drink beer bar,A beer (or lager) in a glass or stein. Shown with froth (head) spilling over the top. Beer Mug was approved as part of Unicode 6.0 in 2010 a http://emojipedia.org/beer-mug/
tropical drink,U+1F379,drink tropical bar,"An tropical flavored drink, usually served with a straw, garnish, and cocktail umbrella. May be referred to as a tiki drink, boat drink or u http://emojipedia.org/tropical-drink/"
cocktail glass,U+1F378,drink bar glass cocktail,"A cocktail glass with a thin stem, and wide surface area. Often associated with martinis, most versions of this emoji show an olive inside t http://emojipedia.org/cocktail-glass/"
wine glass,U+1F377,wine beverage drink bar glass,"A glass of wine, which is generally shown with red wine inside. Wine Glass was approved as part of Unicode 6.0 in 2010 and added to Emoji 1. http://emojipedia.org/wine-glass/"
sake,U+1F376,cup beverage bottle drink bar,"An alcoholic beverage popular in Japan, sometimes called rice wine as it is made from rice. Shown as a sake bottle, and a small bowl-like cu http://emojipedia.org/sake-bottle-and-cup/"
teacup without handle,U+1F375,cup beverage teacup tea drink,"A teacup without a handle, which is commonly used in Japan to drink matcha. Matcha is a powdered tea that has a distinctive green color, and http://emojipedia.org/teacup-without-handle/"
fork and knife,U+1F374,cooking knife fork,"A fork and knife; a set of utensils used to assist in the eating of meals. Displayed with the fork on the left, and the knife on the right.  http://emojipedia.org/fork-and-knife/"
cooking,U+1F373,frying egg pan,"A frying pan with an egg being fried, representing cooking. Cooking was approved as part of Unicode 6.0 in 2010 and added to Emoji 1.0 in 20 http://emojipedia.org/cooking/"
pot of food,U+1F372,pot stew,A pot containing a variety of food. Pot of Food was approved as part of Unicode 6.0 in 2010 and added to Emoji 1.0 in 2015. Copy and paste t http://emojipedia.org/pot-of-food/
bento box,U+1F371,box bento,"Bento – a Japanese combination of rice, vegetables and meat packed into a box for lunch. Bento Box was approved as part of Unicode 6.0 in 20 http://emojipedia.org/bento-box/"
shortcake,U+1F370,pastry sweet dessert slice cake,"A single slice or piece of  shortcake – likely strawberry, but could be peach. This emoji is sometimes used in birthday greetings, as a vari http://emojipedia.org/shortcake/"
cheese wedge,U+1F9C0,cheese,"A wedge of cheese. Not necessarily a specific type or style of cheese, but likely to be shown with a bright yellow appearance. Cheese Wedge  http://emojipedia.org/cheese-wedge/"
honey pot,U+1F36F,honeypot sweet honey pot,"A pot of honey, made by a honey bee. Honey Pot was approved as part of Unicode 6.0 in 2010 and added to Emoji 1.0 in 2015. Copy and paste th http://emojipedia.org/honey-pot/"
custard,U+1F36E,sweet dessert pudding,"A custard dessert, such as a crème caramel or flan with a layer of caramel on the top. Custard was approved as part of Unicode 6.0 in 2010 a http://emojipedia.org/custard/"
lollipop,U+1F36D,sweet dessert candy,"A lollipop: circular candy on a stick. Shown with a variety of colors (rainbow on Apple devices, yellow and pink for Android, pink on Window http://emojipedia.org/lollipop/"
candy,U+1F36C,sweet dessert,"A wrapped piece of sugar candy, often a treat for children. May be given at Halloween when kids are trick-or-treating. Known as sweets or lo http://emojipedia.org/candy/"
chocolate bar,U+1F36B,sweet dessert bar chocolate,"A block of chocolate, shown as squares with a foil wrapper. Chocolate Bar was approved as part of Unicode 6.0 in 2010 and added to Emoji 1.0 http://emojipedia.org/chocolate-bar/"
cookie,U+1F36A,sweet dessert,"A cookie of any description, though appears as a chocolate chip cookie on most major platforms. On Samsung devices, this emoji displays as t http://emojipedia.org/cookie/"
doughnut,U+1F369,sweet dessert donut,"A delicious donut emoji; spelled as doughnut in British English. Generally displayed as a chocolate-coated doughnut, with colored sprinkles. http://emojipedia.org/doughnut/"
ice cream,U+1F368,sweet dessert ice cream,A bowl containing one or more scoops of ice cream. Ice Cream was approved as part of Unicode 6.0 in 2010 and added to Emoji 1.0 in 2015. Cop http://emojipedia.org/ice-cream/
shaved ice,U+1F367,sweet shaved dessert ice,Shaved ice with syrup added to it for flavor. Often referred to as a snow cone. Shaved Ice was approved as part of Unicode 6.0 in 2010 and a http://emojipedia.org/shaved-ice/
soft ice cream,U+1F366,soft sweet dessert ice icecream cream,"A soft-serve ice cream in a cone. The ice cream is a white color, which implies that it is vanilla flavored on most platforms. Windows displ http://emojipedia.org/soft-ice-cream/"
fish cake with swirl,U+1F365,pastry fish swirl cake,"A fishcake (or fish cake) that is used in some Asian meals, known as Narutomaki in Japanese. Each slice includes a spiral design for visual  http://emojipedia.org/fish-cake-with-swirl-design/"
fried shrimp,U+1F364,tempura prawn fried shrimp,"A prawn coated in breadcrumbs and fried. Known as ebi furai in Japan, but often referred to as tempura outside of Japan. Often found include http://emojipedia.org/fried-shrimp/"
oden,U+1F362,stick skewer seafood kebab,"Oden is a Japanese meal made of egg, fish cakes, radish and other ingredients. Oden can be served with or without a skewer. Similar in appea http://emojipedia.org/oden/"
dango,U+1F361,stick japanese skewer sweet dessert,"A popular sweet Japanese dessert, on a stick. Similar in appearance to the oden emoji. Dango was approved as part of Unicode 6.0 in 2010 and http://emojipedia.org/dango/"
roasted sweet potato,U+1F360,sweet potato roasted,"A sweet potato, sometimes (incorrectly) referred to as a yam in North America.  Can have a range of skin colors, from purple to red or beige http://emojipedia.org/roasted-sweet-potato/"
french fries,U+1F35F,french fries,French Fries was approved as part of Unicode 6.0 in 2010 and added to Emoji 1.0 in 2015. Copy and paste this emoji: Copy http://emojipedia.org/french-fries/
steaming bowl,U+1F35C,steaming ramen noodle bowl,"A steaming bowl of food. Displayed as a bowl of ramen (noodles) in most emoji artwork, though by definition could be any bowl containing hot http://emojipedia.org/steaming-bowl/"
curry rice,U+1F35B,curry rice,"A plate of food containing curry and rice. Due to the origins of emoji being in Japan, this was most likely intended to be a Japanese curry, http://emojipedia.org/curry-and-rice/"
